,0,1,2,3,4,5,6
216,26,tt0135070,movie,Le zombi de Cap-Rouge,Horror,1997,11.0
217,26,tt0137839,movie,Inner Shadow,Horror,1997,
218,26,tt0139617,movie,Sleep When You're Dead,Horror,1997,
219,26,tt0139220,movie,Francorusse,Horror,1997,12.0
220,26,tt0143263,movie,Gakkô no kaidan 3,Horror,1997,7.0
221,26,tt0144198,movie,Feeding Billy,Horror,1997,
222,26,tt0144555,movie,Premutos - Der gefallene Engel,Horror,1997,
223,26,tt0150429,movie,Dying to Meet You,Horror,1997,
224,26,tt0157102,movie,Tender Flesh,Horror,1997,7.0
225,26,tt0159698,movie,Revelations,Horror,1997,2.0
226,26,tt0162211,movie,Breeders,Horror,1997,10.0
227,26,tt0162876,movie,Barn of the Blood Llama,Horror,2000,4.0
228,26,tt0162733,movie,Vampire Holocaust,Horror,1997,
229,26,tt0163000,movie,Bloodsuckers,Horror,1997,
230,26,tt0166501,movie,Bayou Ghost,Horror,1997,
231,26,tt0168918,movie,Kichiku dai enkai,Horror,1997,9.0
232,26,tt0175489,movie,Blood Runs Black,Horror,1997,
233,26,tt0175886,movie,Man Into Vampire!,Horror,1997,
234,26,tt0180631,movie,Deadlock,Horror,1997,
235,26,tt0183892,movie,Tin dei hung sam,Horror,1997,3.0
236,26,tt0184054,movie,Yeh boon 2 dim chung,Horror,1997,1.0
237,26,tt0185001,movie,Wong Gok dai ga je,Horror,1997,10.0
238,26,tt0184649,movie,Hung bou gai,Horror,1997,11.0
239,26,tt0189655,movie,"Lights, Camera, Hacktion!",Horror,1997,
240,26,tt0190024,movie,Sorceress II: The Temptress,Horror,1997,8.0
241,26,tt0194227,movie,Body Gulch,Horror,1997,5.0
242,26,tt0197776,movie,Potential Sins,Horror,1997,
243,26,tt0198520,movie,The Good Book,Horror,1997,
244,26,tt0203726,movie,The Necro Files,Horror,1997,9.0
245,26,tt0206078,movie,Kori,Horror,1997,
246,26,tt0234951,movie,Unleashed,Horror,1997,
247,26,tt0237072,movie,Cannibal Rollerbabes,Horror,1997,
248,26,tt0242510,movie,Maang gwai jut laai ok,Horror,1997,10.0
249,26,tt0247943,movie,Backroad Diner,Horror,1997,9.0
250,26,tt0237199,movie,Echos of Enlightenment,Mystery,2001,8.0
251,26,tt0237572,movie,The Pledge,Mystery,2001,11.0
252,26,tt0239020,movie,De grot,Mystery,2001,9.0
253,26,tt0242527,movie,The Hole,Mystery,2001,7.0
254,26,tt0242998,movie,Valentine,Mystery,2001,7.0
255,26,tt0243554,movie,When Strangers Appear,Mystery,2002,4.0
256,26,tt0245905,movie,Four Jacks,Mystery,2001,8.0
257,26,tt0245904,movie,Forgive Me Father,Mystery,2002,5.0
258,26,tt0245429,movie,Spirited Away,Mystery,2003,4.0
259,26,tt0246578,movie,Donnie Darko,Mystery,2002,6.0
260,26,tt0247303,movie,Down,Mystery,2001,9.0
261,26,tt0249643,movie,Kat,Mystery,2001,6.0
262,26,tt0247745,movie,Super Troopers,Mystery,2002,2.0
263,26,tt0248661,movie,3 A.M.,Mystery,2001,7.0
264,26,tt0250323,movie,The Deep End,Mystery,2001,11.0
265,26,tt0250636,movie,Out of the Black,Mystery,2001,7.0
266,26,tt0252963,movie,The Bunker,Mystery,2002,9.0
267,26,tt0252225,movie,Almost Salinas,Mystery,2005,
268,26,tt0252501,movie,Hearts in Atlantis,Mystery,2002,2.0
269,26,tt0255293,movie,Kamen gakuen,Mystery,2001,2.0
270,26,tt0256524,movie,The Curse of the Jade Scorpion,Mystery,2002,5.0
271,26,tt0256155,movie,Beneath Loch Ness,Mystery,2004,3.0
272,26,tt0259393,movie,Lantana,Mystery,2003,6.0
273,26,tt0259497,movie,Pendulum,Mystery,2003,7.0
274,26,tt0258967,movie,The Unsaid,Mystery,2001,9.0
275,26,tt0259711,movie,Vanilla Sky,Mystery,2002,1.0
276,26,tt0260866,movie,Don't Say a Word,Mystery,2001,12.0
277,26,tt0261983,movie,Session 9,Mystery,2001,9.0
278,26,tt0261570,movie,Black Days,Mystery,2001,1.0
279,26,tt0263746,movie,Mindstorm,Mystery,2001,2.0
280,26,tt0263488,movie,Jeepers Creepers,Mystery,2002,1.0
281,26,tt0265932,movie,Un jeu d'enfants,Mystery,2001,6.0
282,26,tt0266339,movie,Blood and Guts,Mystery,2001,10.0
283,26,tt0264508,movie,Dagon,Mystery,2001,10.0
284,26,tt0264559,movie,Dumb Luck,Mystery,2001,3.0
285,26,tt0264446,movie,Bufo & Spallanzani,Mystery,2001,8.0
286,26,tt0267440,movie,Do You Wanna Know a Secret?,Mystery,2001,3.0
287,26,tt0268200,movie,Brigham City,Mystery,2001,3.0
288,26,tt0268711,movie,Tuno negro,Mystery,2001,7.0
289,26,tt0268032,movie,Weiser,Mystery,2001,1.0
290,26,tt0270270,movie,Century Hotel,Mystery,2001,9.0
291,26,tt0272291,movie,Seri Dewi Malam,Mystery,2001,5.0
292,26,tt0271543,movie,Hidden Agenda,Mystery,2001,7.0
293,26,tt0272688,movie,Kasoor,Mystery,2001,2.0
294,26,tt0271946,movie,The Accidental Spy,Mystery,2002,8.0
295,26,tt0272152,movie,K-PAX,Mystery,2002,4.0
296,26,tt0273311,movie,Killer Me,Mystery,2001,9.0
297,26,tt0273649,movie,High Point,Mystery,2001,1.0
298,26,tt0274457,movie,Un delitto impossibile,Mystery,2001,
299,26,tt0274861,movie,Snowbound,Mystery,2001,12.0
300,26,tt0108186,movie,Son in Law,Romance,1994,6.0
301,26,tt0107475,movie,Madame Bäurin,Romance,1993,3.0
302,26,tt0107823,movie,Piccolo grande amore,Romance,1993,12.0
303,26,tt0108013,movie,Russkiy roman,Romance,1993,
304,26,tt0108636,movie,Younger and Younger,Romance,1993,12.0
305,26,tt0107473,movie,Mad Dog and Glory,Romance,1993,7.0
306,26,tt0108333,movie,The Three Musketeers,Romance,1994,2.0
307,26,tt0108363,movie,Top of the World,Romance,1993,9.0
308,26,tt0107905,movie,Qian wang qing ren,Romance,1993,7.0
309,26,tt0108155,movie,Skin Art,Romance,1993,9.0
310,26,tt0107613,movie,Mr. Wonderful,Romance,1994,2.0
311,26,tt0107269,movie,Jie da huan xi,Romance,1993,8.0
312,26,tt0107639,movie,The Myth of the Male Orgasm,Romance,1993,9.0
313,26,tt0107266,movie,Ji de... xiang jiao cheng shu shi,Romance,1993,4.0
314,26,tt0106646,movie,Dafnis i Khloya,Romance,1993,
315,26,tt0106868,movie,A Far Off Place,Romance,1993,3.0
316,26,tt0107085,movie,Hatachi no binetsu,Romance,1993,9.0
317,26,tt0107711,movie,Nowhere to Run,Romance,1993,4.0
318,26,tt0106342,movie,Bak fat moh lui zyun,Romance,1993,8.0
319,26,tt0107642,movie,Métisse,Romance,1994,4.0
320,26,tt0107617,movie,Mùi du du xanh,Romance,1993,12.0
321,26,tt0107438,movie,Look Who's Talking Now,Romance,1994,5.0
322,26,tt0106375,movie,Beethoven's 2nd,Romance,1993,12.0
323,26,tt0106867,movie,Fantozzi in paradiso,Romance,1993,12.0
324,26,tt0107353,movie,L.A. Goddess,Romance,1993,5.0
325,26,tt0107440,movie,Lootere,Romance,1993,4.0
326,26,tt0107334,movie,Ko zaprem oci,Romance,1993,10.0
327,26,tt0107631,movie,My Life's in Turnaround,Romance,1994,6.0
